Temps (s);CH1 (V);CH2 (V)
-2.762000e-03;-2.520;0.000
-2.760000e-03;-2.560;-0.040
-2.758000e-03;-2.560;0.020
-2.756000e-03;-2.560;0.000
-2.754000e-03;-2.600;0.000
-2.752000e-03;-2.640;0.000
-2.750000e-03;-2.640;0.040
-2.748000e-03;-2.640;-0.020
-2.746000e-03;-2.640;0.000
-2.744000e-03;-2.680;-0.020
-2.742000e-03;-2.680;0.000
-2.740000e-03;-2.720;-0.020
-2.738000e-03;-2.720;0.000
-2.736000e-03;-2.760;0.040
-2.734000e-03;-2.720;0.000
-2.732000e-03;-2.760;0.020
-2.730000e-03;-2.760;0.000
-2.728000e-03;-2.760;0.060
-2.726000e-03;-2.800;0.000
-2.724000e-03;-2.840;0.000
-2.722000e-03;-2.840;0.020
-2.720000e-03;-2.840;0.000
-2.718000e-03;-2.880;0.000
-2.716000e-03;-2.880;0.000
-2.714000e-03;-2.880;0.020
-2.712000e-03;-2.880;0.000
-2.710000e-03;-2.880;0.000
-2.708000e-03;-2.880;0.000
-2.706000e-03;-2.960;0.000
-2.704000e-03;-2.960;-0.020
-2.702000e-03;-2.960;0.020
-2.700000e-03;-2.960;0.000
-2.698000e-03;-2.960;0.000
-2.696000e-03;-3.000;0.040
-2.694000e-03;-3.000;0.000
-2.692000e-03;-3.000;0.020
-2.690000e-03;-3.040;-0.020
-2.688000e-03;-3.040;0.000
-2.686000e-03;-3.040;0.020
-2.684000e-03;-3.040;0.000
-2.682000e-03;-3.040;0.040
-2.680000e-03;-3.080;0.000
-2.678000e-03;-3.080;0.040
-2.676000e-03;-3.080;-0.020
-2.674000e-03;-3.120;0.000
-2.672000e-03;-3.120;0.000
-2.670000e-03;-3.120;-0.020
-2.668000e-03;-3.120;-0.020
-2.666000e-03;-3.120;0.000
-2.664000e-03;-3.160;0.000
-2.662000e-03;-3.160;0.020
-2.660000e-03;-3.160;0.000
-2.658000e-03;-3.200;0.020
-2.656000e-03;-3.200;0.000
-2.654000e-03;-3.200;-0.020
-2.652000e-03;-3.200;0.000
-2.650000e-03;-3.240;0.000
-2.648000e-03;-3.200;0.000
-2.646000e-03;-3.200;0.040
-2.644000e-03;-3.240;0.020
-2.642000e-03;-3.240;0.000
-2.640000e-03;-3.240;0.000
-2.638000e-03;-3.280;0.000
-2.636000e-03;-3.280;0.000
-2.634000e-03;-3.280;-0.020
-2.632000e-03;-3.280;-0.040
-2.630000e-03;-3.320;0.000
-2.628000e-03;-3.280;0.000
-2.626000e-03;-3.320;0.000
-2.624000e-03;-3.320;0.000
-2.622000e-03;-3.320;0.020
-2.620000e-03;-3.320;0.020
-2.618000e-03;-3.320;0.000
-2.616000e-03;-3.360;0.020
-2.614000e-03;-3.360;-0.040
-2.612000e-03;-3.360;0.000
-2.610000e-03;-3.360;0.000
-2.608000e-03;-3.360;0.020
-2.606000e-03;-3.360;0.000
-2.604000e-03;-3.400;-0.020
-2.602000e-03;-3.400;-0.020
-2.600000e-03;-3.400;-0.040
-2.598000e-03;-3.400;0.000
-2.596000e-03;-3.400;0.020
-2.594000e-03;-3.400;0.020
-2.592000e-03;-3.400;0.020
-2.590000e-03;-3.440;0.020
-2.588000e-03;-3.440;0.000
-2.586000e-03;-3.440;0.020
-2.584000e-03;-3.440;0.000
-2.582000e-03;-3.440;0.000
-2.580000e-03;-3.440;0.020
-2.578000e-03;-3.440;0.000
-2.576000e-03;-3.440;0.000
-2.574000e-03;-3.440;-0.020
-2.572000e-03;-3.480;0.040
-2.570000e-03;-3.480;0.000
-2.568000e-03;-3.440;0.020
-2.566000e-03;-3.480;0.000
-2.564000e-03;-3.480;-0.040
-2.562000e-03;-3.480;-0.020
-2.560000e-03;-3.480;0.000
-2.558000e-03;-3.520;0.000
-2.556000e-03;-3.480;0.000
-2.554000e-03;-3.480;0.040
-2.552000e-03;-3.480;0.020
-2.550000e-03;-3.480;-0.020
-2.548000e-03;-3.480;0.000
-2.546000e-03;-3.480;0.000
-2.544000e-03;-3.480;0.000
-2.542000e-03;-3.480;0.020
-2.540000e-03;-3.520;-0.020
-2.538000e-03;-3.480;0.000
-2.536000e-03;-3.520;0.000
-2.534000e-03;-3.480;0.000
-2.532000e-03;-3.520;0.020
-2.530000e-03;-3.520;0.020
-2.528000e-03;-3.520;0.000
-2.526000e-03;-3.520;0.000
-2.524000e-03;-3.520;0.000
-2.522000e-03;-3.520;0.000
-2.520000e-03;-3.520;0.020
-2.518000e-03;-3.520;0.040
-2.516000e-03;-3.520;0.000
-2.514000e-03;-3.520;-0.040
-2.512000e-03;-3.480;0.000
-2.510000e-03;-3.520;0.000
-2.508000e-03;-3.520;-0.020
-2.506000e-03;-3.520;0.000
-2.504000e-03;-3.520;0.020
-2.502000e-03;-3.520;0.000
-2.500000e-03;-3.520;0.000
-2.498000e-03;-3.480;0.000
-2.496000e-03;-3.480;0.000
-2.494000e-03;-3.520;0.000
-2.492000e-03;-3.520;0.000
-2.490000e-03;-3.480;-0.020
-2.488000e-03;-3.520;0.000
-2.486000e-03;-3.520;-0.040
-2.484000e-03;-3.480;0.020
-2.482000e-03;-3.480;0.000
-2.480000e-03;-3.480;0.020
-2.478000e-03;-3.480;0.000
-2.476000e-03;-3.480;-0.020
-2.474000e-03;-3.480;0.000
-2.472000e-03;-3.480;-0.020
-2.470000e-03;-3.440;0.000
-2.468000e-03;-3.440;0.020
-2.466000e-03;-3.440;0.020
-2.464000e-03;-3.480;0.020
-2.462000e-03;-3.440;-0.020
-2.460000e-03;-3.440;0.000
-2.458000e-03;-3.440;-0.020
-2.456000e-03;-3.400;0.000
-2.454000e-03;-3.440;0.000
-2.452000e-03;-3.440;0.000
-2.450000e-03;-3.440;0.000
-2.448000e-03;-3.400;0.000
-2.446000e-03;-3.400;0.000
-2.444000e-03;-3.400;0.020
-2.442000e-03;-3.400;0.000
-2.440000e-03;-3.400;0.000
-2.438000e-03;-3.400;0.000
-2.436000e-03;-3.400;-0.060
-2.434000e-03;-3.400;-0.020
-2.432000e-03;-3.360;0.000
-2.430000e-03;-3.360;0.020
-2.428000e-03;-3.360;0.000
-2.426000e-03;-3.360;0.020
-2.424000e-03;-3.360;-0.020
-2.422000e-03;-3.320;-0.040
-2.420000e-03;-3.320;-0.020
-2.418000e-03;-3.320;0.000
-2.416000e-03;-3.280;-0.020
-2.414000e-03;-3.320;0.020
-2.412000e-03;-3.320;0.020
-2.410000e-03;-3.280;0.000
-2.408000e-03;-3.280;0.020
-2.406000e-03;-3.280;0.000
-2.404000e-03;-3.280;0.040
-2.402000e-03;-3.280;0.020
-2.400000e-03;-3.240;0.000
-2.398000e-03;-3.240;-0.020
-2.396000e-03;-3.240;0.000
-2.394000e-03;-3.240;0.020
-2.392000e-03;-3.240;-0.020
-2.390000e-03;-3.200;0.020
-2.388000e-03;-3.200;0.020
-2.386000e-03;-3.200;-0.020
-2.384000e-03;-3.200;0.000
-2.382000e-03;-3.200;0.000
-2.380000e-03;-3.160;-0.020
-2.378000e-03;-3.200;0.000
-2.376000e-03;-3.160;-0.020
-2.374000e-03;-3.120;0.000
-2.372000e-03;-3.120;0.020
-2.370000e-03;-3.120;0.000
-2.368000e-03;-3.120;0.000
-2.366000e-03;-3.080;-0.020
-2.364000e-03;-3.120;0.020
-2.362000e-03;-3.080;0.040
-2.360000e-03;-3.080;0.020
-2.358000e-03;-3.080;-0.020
-2.356000e-03;-3.040;0.000
-2.354000e-03;-3.040;0.020
-2.352000e-03;-3.040;0.000
-2.350000e-03;-3.040;0.000
-2.348000e-03;-3.000;-0.020
-2.346000e-03;-3.000;0.020
-2.344000e-03;-3.000;0.000
-2.342000e-03;-2.960;0.000
-2.340000e-03;-2.960;0.020
-2.338000e-03;-2.960;0.000
-2.336000e-03;-2.960;0.000
-2.334000e-03;-2.960;0.000
-2.332000e-03;-2.960;0.000
-2.330000e-03;-2.920;-0.020
-2.328000e-03;-2.920;0.000
-2.326000e-03;-2.880;0.000
-2.324000e-03;-2.880;0.020
-2.322000e-03;-2.840;0.000
-2.320000e-03;-2.840;0.000
-2.318000e-03;-2.840;-0.020
-2.316000e-03;-2.840;0.000
-2.314000e-03;-2.840;0.000
-2.312000e-03;-2.800;0.000
-2.310000e-03;-2.800;0.000
-2.308000e-03;-2.760;-0.060
