Temps (s);CH1 (V);CH2 (V)
-1.789000e-03;1.320;0.000
-1.788000e-03;1.320;0.000
-1.787000e-03;1.320;-0.020
-1.786000e-03;1.360;0.000
-1.785000e-03;1.360;-0.020
-1.784000e-03;1.360;-0.040
-1.783000e-03;1.360;0.000
-1.782000e-03;1.320;0.000
-1.781000e-03;1.360;0.000
-1.780000e-03;1.360;0.000
-1.779000e-03;1.360;0.000
-1.778000e-03;1.320;0.020
-1.777000e-03;1.320;0.020
-1.776000e-03;1.360;0.020
-1.775000e-03;1.360;0.000
-1.774000e-03;1.360;0.020
-1.773000e-03;1.320;0.020
-1.772000e-03;1.360;0.000
-1.771000e-03;1.360;0.000
-1.770000e-03;1.360;0.000
-1.769000e-03;1.360;-0.060
-1.768000e-03;1.360;0.000
-1.767000e-03;1.360;0.000
-1.766000e-03;1.360;0.000
-1.765000e-03;1.360;0.000
-1.764000e-03;1.360;0.020
-1.763000e-03;1.360;0.020
-1.762000e-03;1.360;-0.040
-1.761000e-03;1.360;0.020
-1.760000e-03;1.360;0.020
-1.759000e-03;1.360;0.020
-1.758000e-03;1.360;-0.020
-1.757000e-03;1.360;0.000
-1.756000e-03;1.360;0.000
-1.755000e-03;1.360;0.040
-1.754000e-03;1.360;0.000
-1.753000e-03;1.360;0.000
-1.752000e-03;1.360;0.020
-1.751000e-03;1.360;0.000
-1.750000e-03;1.360;0.000
-1.749000e-03;1.360;0.000
-1.748000e-03;1.320;-0.020
-1.747000e-03;1.360;0.020
-1.746000e-03;1.360;0.020
-1.745000e-03;1.360;-0.020
-1.744000e-03;1.360;0.000
-1.743000e-03;1.360;0.020
-1.742000e-03;1.360;0.000
-1.741000e-03;1.360;0.040
-1.740000e-03;1.360;0.000
-1.739000e-03;1.360;0.020
-1.738000e-03;1.360;0.000
-1.737000e-03;1.360;0.020
-1.736000e-03;1.320;0.000
-1.735000e-03;1.320;0.000
-1.734000e-03;1.320;-0.020
-1.733000e-03;1.320;0.020
-1.732000e-03;1.320;0.000
-1.731000e-03;1.320;-0.020
-1.730000e-03;1.320;-0.040
-1.729000e-03;1.320;0.000
-1.728000e-03;1.320;0.000
-1.727000e-03;1.320;0.020
-1.726000e-03;1.320;0.020
-1.725000e-03;1.320;0.000
-1.724000e-03;1.360;0.020
-1.723000e-03;1.320;0.060
-1.722000e-03;1.320;0.000
-1.721000e-03;1.320;0.020
-1.720000e-03;1.320;0.000
-1.719000e-03;1.320;0.040
-1.718000e-03;1.320;0.020
-1.717000e-03;1.320;0.000
-1.716000e-03;1.280;0.020
-1.715000e-03;1.320;0.000
-1.714000e-03;1.320;0.020
-1.713000e-03;1.320;0.000
-1.712000e-03;1.320;0.000
-1.711000e-03;1.280;0.020
-1.710000e-03;1.320;0.000
-1.709000e-03;1.320;0.000
-1.708000e-03;1.320;0.020
-1.707000e-03;1.280;0.020
-1.706000e-03;1.280;0.020
-1.705000e-03;1.280;0.020
-1.704000e-03;1.280;0.000
-1.703000e-03;1.280;0.000
-1.702000e-03;1.280;0.040
-1.701000e-03;1.280;0.000
-1.700000e-03;1.280;0.000
-1.699000e-03;1.280;0.000
-1.698000e-03;1.280;-0.020
-1.697000e-03;1.280;0.000
-1.696000e-03;1.280;0.000
-1.695000e-03;1.240;-0.040
-1.694000e-03;1.280;-0.020
-1.693000e-03;1.280;0.000
-1.692000e-03;1.240;-0.020
-1.691000e-03;1.280;-0.020
-1.690000e-03;1.240;0.020
-1.689000e-03;1.240;0.000
-1.688000e-03;1.240;0.020
-1.687000e-03;1.240;0.000
-1.686000e-03;1.200;0.000
-1.685000e-03;1.240;0.020
-1.684000e-03;1.240;0.040
-1.683000e-03;1.240;0.000
-1.682000e-03;1.240;0.000
-1.681000e-03;1.200;0.000
-1.680000e-03;1.200;-0.060
-1.679000e-03;1.200;0.000
-1.678000e-03;1.200;0.000
-1.677000e-03;1.200;0.000
-1.676000e-03;1.200;0.000
-1.675000e-03;1.200;0.000
-1.674000e-03;1.200;0.020
-1.673000e-03;1.200;-0.040
-1.672000e-03;1.200;0.000
-1.671000e-03;1.200;0.020
-1.670000e-03;1.200;0.040
-1.669000e-03;1.200;0.000
-1.668000e-03;1.200;0.000
-1.667000e-03;1.160;0.000
-1.666000e-03;1.200;0.040
-1.665000e-03;1.200;0.000
-1.664000e-03;1.160;0.000
-1.663000e-03;1.160;0.020
-1.662000e-03;1.160;0.020
-1.661000e-03;1.160;0.000
-1.660000e-03;1.160;0.020
-1.659000e-03;1.120;0.020
-1.658000e-03;1.160;0.020
-1.657000e-03;1.160;0.000
-1.656000e-03;1.160;0.000
-1.655000e-03;1.160;-0.020
-1.654000e-03;1.120;0.020
-1.653000e-03;1.120;0.000
-1.652000e-03;1.120;0.020
-1.651000e-03;1.120;0.000
-1.650000e-03;1.120;0.000
-1.649000e-03;1.120;0.020
-1.648000e-03;1.120;0.060
-1.647000e-03;1.120;0.000
-1.646000e-03;1.080;0.000
-1.645000e-03;1.120;-0.040
-1.644000e-03;1.080;0.020
-1.643000e-03;1.080;0.000
-1.642000e-03;1.080;-0.020
-1.641000e-03;1.040;-0.060
-1.640000e-03;1.080;0.000
-1.639000e-03;1.080;0.000
-1.638000e-03;1.080;0.000
-1.637000e-03;1.040;-0.060
-1.636000e-03;1.040;0.020
-1.635000e-03;1.080;0.020
-1.634000e-03;1.040;0.040
-1.633000e-03;1.040;0.000
-1.632000e-03;1.040;0.000
-1.631000e-03;1.000;0.020
-1.630000e-03;1.040;0.040
-1.629000e-03;1.000;0.000
-1.628000e-03;1.040;0.000
-1.627000e-03;1.000;-0.020
-1.626000e-03;1.040;0.020
